Lineup,Plus/Minus,Total Time,Game
"('GORSKI,JENNY', 'GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",8,03:56,Gordon
"('GORSKI,JENNY', 'GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",-13,01:30,Gordon
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'GUERRIER,PHONIA', 'JOHNSTON,RAHMIA')",-3,02:24,Gordon
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'PACHECO,MIA')",-2,00:44,Gordon
"('ANDRADE,SOPHIA', 'GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'PACHECO,MIA')",-3,05:11,Gordon
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GUERRIER,PHONIA', 'LEBEL,KELLY', 'PACHECO,MIA')",-14,04:23,Gordon
"('GUERRIER,PHONIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA', 'TURCO,MARY')",-3,01:40,Gordon
