Team,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
Elms,"Lewis, Jade",105.0,10.0,31.0,32.26,5.0,11.0,45.45,12.0,16.0,75.0,6,9,15,5.0,3.0,0.0,18,6,37.0
New England Col.,"Lewis,Camryn",12.0,5.0,10.0,50.0,0.0,0.0,,0.0,2.0,0.0,4,5,9,0.0,0.0,1.0,0,0,10.0
Elms,"Lewis,Jade",617.0,65.0,211.0,30.81,20.0,71.0,28.17,54.0,71.0,76.06,27,46,73,43.0,33.0,1.0,113,47,204.0
Nazareth,"Littlefield,Payton",15.0,2.0,6.0,33.33,1.0,5.0,20.0,2.0,2.0,100.0,0,1,1,0.0,0.0,0.0,0,1,7.0
New England Col.,"Lively,Ajayah",22.0,3.0,5.0,60.0,1.0,1.0,100.0,2.0,2.0,100.0,1,2,3,0.0,2.0,0.0,2,2,9.0
JWU (Providence),"Lora,Alexa",47.0,7.0,13.0,53.85,2.0,5.0,40.0,5.0,9.0,55.56,2,7,9,7.0,3.0,0.0,6,5,21.0
Mitchell,"Lucas,Kyrsten",30.0,2.0,8.0,25.0,1.0,4.0,25.0,0.0,0.0,,1,5,6,3.0,2.0,0.0,1,3,5.0
Albertus Magnus,"Ludlow, Willow",7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,1,0.0
Emerson,"Lyons,Sydney",16.0,1.0,5.0,20.0,0.0,0.0,,0.0,1.0,0.0,1,2,3,0.0,0.0,0.0,1,2,2.0
Norwich,"MacAuley,Sage",10.0,1.0,1.0,100.0,0.0,0.0,,0.0,2.0,0.0,0,1,1,0.0,0.0,0.0,1,0,2.0
Colby-Sawyer,"MacDonald,Lauren",24.0,2.0,7.0,28.57,0.0,3.0,0.0,0.0,4.0,0.0,1,2,3,3.0,3.0,0.0,5,4,4.0
