Player,Plus/Minus,Game
"LEWIS,JADE",-9,JWU_PROVIDENCE_WBB
"TURCO,MARY",-17,JWU_PROVIDENCE_WBB
"URIBE,TALIA",-26,JWU_PROVIDENCE_WBB
"GRAHAM,PIPER",-11,JWU_PROVIDENCE_WBB
"JOHNSTON,RAHMIA",9,JWU_PROVIDENCE_WBB
"GORSKI,JENNY",0,JWU_PROVIDENCE_WBB
"BARRON,SHEA",-2,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA",-6,JWU_PROVIDENCE_WBB
"LEBEL,KELLY",4,JWU_PROVIDENCE_WBB
"SMITH,HEAVEN",-4,JWU_PROVIDENCE_WBB
"GUERRIER,PHONIA",-4,JWU_PROVIDENCE_WBB
"PACHECO,MIA",-4,JWU_PROVIDENCE_WBB
"MILDNER,STEPHANIE",-4,JWU_PROVIDENCE_WBB
"LEWIS,JADE",-18,JWU_PROVIDENCE_WBB2
"TURCO,MARY",-29,JWU_PROVIDENCE_WBB2
"URIBE,TALIA",-25,JWU_PROVIDENCE_WBB2
"GRAHAM,PIPER",-17,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA",-13,JWU_PROVIDENCE_WBB2
"BARRON,SHEA",-30,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY",-11,JWU_PROVIDENCE_WBB2
"WASIEWICZ,GABBY",-11,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA",-12,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY",-1,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA",-1,JWU_PROVIDENCE_WBB2
"PACHECO,MIA",-1,JWU_PROVIDENCE_WBB2
"MILDNER,STEPHANIE",-1,JWU_PROVIDENCE_WBB2
"SMITH,HEAVEN",-1,JWU_PROVIDENCE_WBB2
"LEWIS,JADE",7,LASELL_WBB
"TURCO,MARY",-3,LASELL_WBB
"URIBE,TALIA",15,LASELL_WBB
"GRAHAM,PIPER",12,LASELL_WBB
"JOHNSTON,RAHMIA",8,LASELL_WBB
"BARRON,SHEA",0,LASELL_WBB
"GORSKI,JENNY",-5,LASELL_WBB
"WASIEWICZ,GABBY",-8,LASELL_WBB
"ANDRADE,SOPHIA",2,LASELL_WBB
"LEWIS,JADE",10,LASELL_WBB2
"TURCO,MARY",1,LASELL_WBB2
"URIBE,TALIA",9,LASELL_WBB2
"GRAHAM,PIPER",-8,LASELL_WBB2
"JOHNSTON,RAHMIA",-1,LASELL_WBB2
"GORSKI,JENNY",-3,LASELL_WBB2
"BARRON,SHEA",5,LASELL_WBB2
"WASIEWICZ,GABBY",0,LASELL_WBB2
"ANDRADE,SOPHIA",8,LASELL_WBB2
"LEWIS,JADE",20,MITCHELL_WBB
"TURCO,MARY",18,MITCHELL_WBB
"URIBE,TALIA",8,MITCHELL_WBB
"GRAHAM,PIPER",16,MITCHELL_WBB
"JOHNSTON,RAHMIA",26,MITCHELL_WBB
"GORSKI,JENNY",16,MITCHELL_WBB
"BARRON,SHEA",8,MITCHELL_WBB
"WASIEWICZ,GABBY",5,MITCHELL_WBB
"LEBEL,KELLY",9,MITCHELL_WBB
"ANDRADE,SOPHIA",2,MITCHELL_WBB
"PACHECO,MIA",1,MITCHELL_WBB
"MILDNER,STEPHANIE",2,MITCHELL_WBB
"SMITH,HEAVEN",2,MITCHELL_WBB
"GUERRIER,PHONIA",2,MITCHELL_WBB
"LEWIS,JADE",-36,NAZARETH
"TURCO,MARY",-12,NAZARETH
"URIBE,TALIA",-38,NAZARETH
"GRAHAM,PIPER",-22,NAZARETH
"JOHNSTON,RAHMIA",-31,NAZARETH
"GORSKI,JENNY",-14,NAZARETH
"LEBEL,KELLY",-15,NAZARETH
"ANDRADE,SOPHIA",-6,NAZARETH
"BARRON,SHEA",2,NAZARETH
"MILDNER,STEPHANIE",0,NAZARETH
"LEWIS,JADE",-11,NEC_WBB
"TURCO,MARY",6,NEC_WBB
"URIBE,TALIA",-1,NEC_WBB
"GRAHAM,PIPER",1,NEC_WBB
"JOHNSTON,RAHMIA",-13,NEC_WBB
"GORSKI,JENNY",-17,NEC_WBB
"BARRON,SHEA",1,NEC_WBB
"ANDRADE,SOPHIA",-5,NEC_WBB
"WASIEWICZ,GABBY",-11,NEC_WBB
"MILDNER,STEPHANIE",0,NEC_WBB
"LEWIS,JADE",0,REGIS_WBB
"TURCO,MARY",-5,REGIS_WBB
"URIBE,TALIA",14,REGIS_WBB
"GRAHAM,PIPER",-9,REGIS_WBB
"JOHNSTON,RAHMIA",0,REGIS_WBB
"GORSKI,JENNY",-1,REGIS_WBB
"BARRON,SHEA",7,REGIS_WBB
"WASIEWICZ,GABBY",2,REGIS_WBB
"ANDRADE,SOPHIA",-4,REGIS_WBB
"LEBEL,KELLY",1,REGIS_WBB
"LEWIS,JADE",-25,Rivier
"TURCO,MARY",-21,Rivier
"URIBE,TALIA",-31,Rivier
"GRAHAM,PIPER",-14,Rivier
"JOHNSTON,RAHMIA",-27,Rivier
"BARRON,SHEA",-18,Rivier
"LEBEL,KELLY",3,Rivier
"ANDRADE,SOPHIA",-2,Rivier
"SMITH,HEAVEN",4,Rivier
"PACHECO,MIA",1,Rivier
"GUERRIER,PHONIA",2,Rivier
"MILDNER,STEPHANIE",2,Rivier
"LEWIS,JADE",-27,Salem State
"TURCO,MARY",-12,Salem State
"URIBE,TALIA",-10,Salem State
"GRAHAM,PIPER",-21,Salem State
"JOHNSTON,RAHMIA",-27,Salem State
"GORSKI,JENNY",-12,Salem State
"LEBEL,KELLY",-8,Salem State
"ANDRADE,SOPHIA",-9,Salem State
"BARRON,SHEA",2,Salem State
"PACHECO,MIA",8,Salem State
"MILDNER,STEPHANIE",4,Salem State
"GUERRIER,PHONIA",2,Salem State
"LEWIS,JADE",-27,ST_JOSEPH_S(ME)_WBB
"TURCO,MARY",-19,ST_JOSEPH_S(ME)_WBB
"URIBE,TALIA",-24,ST_JOSEPH_S(ME)_WBB
"GRAHAM,PIPER",-28,ST_JOSEPH_S(ME)_WBB
"JOHNSTON,RAHMIA",-16,ST_JOSEPH_S(ME)_WBB
"GORSKI,JENNY",-7,ST_JOSEPH_S(ME)_WBB
"BARRON,SHEA",-9,ST_JOSEPH_S(ME)_WBB
"WASIEWICZ,GABBY",-15,ST_JOSEPH_S(ME)_WBB
"LEBEL,KELLY",-5,ST_JOSEPH_S(ME)_WBB
"ANDRADE,SOPHIA",-2,ST_JOSEPH_S(ME)_WBB
"MILDNER,STEPHANIE",5,ST_JOSEPH_S(ME)_WBB
"PACHECO,MIA",3,ST_JOSEPH_S(ME)_WBB
"SMITH,HEAVEN",2,ST_JOSEPH_S(ME)_WBB
"GUERRIER,PHONIA",2,ST_JOSEPH_S(ME)_WBB
"LEWIS,JADE",-23,USJ CT
"TURCO,MARY",-26,USJ CT
"URIBE,TALIA",-16,USJ CT
"GRAHAM,PIPER",-23,USJ CT
"JOHNSTON,RAHMIA",-37,USJ CT
"BARRON,SHEA",-22,USJ CT
"GORSKI,JENNY",-11,USJ CT
"WASIEWICZ,GABBY",-20,USJ CT
"LEBEL,KELLY",-5,USJ CT
"ANDRADE,SOPHIA",-5,USJ CT
"MILDNER,STEPHANIE",-4,USJ CT
"SMITH,HEAVEN",-1,USJ CT
"GUERRIER,PHONIA",-1,USJ CT
"PACHECO,MIA",-1,USJ CT
"LEWIS,JADE",12,VSU Lyndon
"TURCO,MARY",9,VSU Lyndon
"URIBE,TALIA",13,VSU Lyndon
"SMITH,HEAVEN",13,VSU Lyndon
"JOHNSTON,RAHMIA",11,VSU Lyndon
"GORSKI,JENNY",15,VSU Lyndon
"LEBEL,KELLY",2,VSU Lyndon
"GRAHAM,PIPER",5,VSU Lyndon
"ANDRADE,SOPHIA",0,VSU Lyndon
"BARRON,SHEA",-4,VSU Lyndon
"LEWIS,JADE",10,WBB NORWICH AT ELMS 2024-25
"TURCO,MARY",3,WBB NORWICH AT ELMS 2024-25
"URIBE,TALIA",19,WBB NORWICH AT ELMS 2024-25
"GRAHAM,PIPER",6,WBB NORWICH AT ELMS 2024-25
"JOHNSTON,RAHMIA",1,WBB NORWICH AT ELMS 2024-25
"GORSKI,JENNY",5,WBB NORWICH AT ELMS 2024-25
"BARRON,SHEA",1,WBB NORWICH AT ELMS 2024-25
"WASIEWICZ,GABBY",2,WBB NORWICH AT ELMS 2024-25
"LEBEL,KELLY",-2,WBB NORWICH AT ELMS 2024-25
"LEWIS,JADE",-17,Wellesley
"TURCO,MARY",-4,Wellesley
"URIBE,TALIA",-20,Wellesley
"GRAHAM,PIPER",0,Wellesley
"JOHNSTON,RAHMIA",-27,Wellesley
"LEBEL,KELLY",1,Wellesley
"GORSKI,JENNY",-15,Wellesley
"ANDRADE,SOPHIA",-6,Wellesley
"BARRON,SHEA",-1,Wellesley
"PACHECO,MIA",0,Wellesley
"GUERRIER,PHONIA",0,Wellesley
"MILDNER,STEPHANIE",-2,Wellesley
"LEWIS,JADE",3,Wentworth
"TURCO,MARY",4,Wentworth
"URIBE,TALIA",9,Wentworth
"GRAHAM,PIPER",19,Wentworth
"JOHNSTON,RAHMIA",4,Wentworth
"GORSKI,JENNY",19,Wentworth
"BARRON,SHEA",-2,Wentworth
"LEBEL,KELLY",4,Wentworth
"ANDRADE,SOPHIA",-2,Wentworth
"PACHECO,MIA",-4,Wentworth
"MILDNER,STEPHANIE",-4,Wentworth
"GUERRIER,PHONIA",-4,Wentworth
"GORSKI,JENNY",-9,Westfield
"LEWIS,JADE",-11,Westfield
"TURCO,MARY",-9,Westfield
"URIBE,TALIA",-15,Westfield
"ASFAW,SOLIYANA",-40,Westfield
"LEBEL,KELLY",-30,Westfield
"ANDRADE,SOPHIA",-16,Westfield
"BARRON,SHEA",-30,Westfield
"JOHNSTON,RAHMIA",-41,Westfield
"PACHECO,MIA",-1,Westfield
"MILDNER,STEPHANIE",1,Westfield
"GUERRIER,PHONIA",0,Westfield
"LEWIS,JADE",-20,WPI
"TURCO,MARY",-20,WPI
"URIBE,TALIA",-22,WPI
"GRAHAM,PIPER",-23,WPI
"JOHNSTON,RAHMIA",-24,WPI
"GORSKI,JENNY",-5,WPI
"LEBEL,KELLY",-7,WPI
"BARRON,SHEA",2,WPI
"ANDRADE,SOPHIA",4,WPI
"SMITH,HEAVEN",-2,WPI
"GUERRIER,PHONIA",-2,WPI
"PACHECO,MIA",-2,WPI
"MILDNER,STEPHANIE",-2,WPI
